interval_m,seed,set_id,kappa,kr_hat,P32_hat
0.5,5,3,11.4,2.833,0.9326279853081857
0.5,5,5,26.9,3.767,1.0194578342396186
1,5,1,14.09,3.233,0.6392539773061268
1,5,2,18.11,2.833,1.0838770866624754
1,5,3,11.7,2.967,0.9188694091034977
1,5,5,26.49,3.7,0.7844077669985556
6,4,1,16.15,2.633,0.8759735443161476
6,4,2,15.5,2.967,0.7128416655883628
6,4,3,10.94,2.767,0.792152038586977
6,4,5,21.87,3.367,0.8382321894770353
2,5,1,13.86,2.833,0.7920080554693821
2,5,2,14.95,3.233,0.8677203863441366
2,5,3,12.49,3.1,0.9961464247584629
2,5,5,25.89,3.7,0.8098718630568794
3,5,1,15.47,2.7,0.8722060713561769
3,5,2,14.6,3.3,0.8851507872830013
3,5,3,12.32,2.967,1.0096507362080314
3,5,5,27.56,3.9,0.7011092407088483
0.5,6,1,14.53,3.3,0.707451618588911
0.5,6,2,21.08,2.7,0.7431286082659404
0.5,6,3,12.87,3.367,0.6308011257468847
0.5,6,5,29.16,3.167,1.1587207260049148
6,5,1,14.95,2.633,0.9752585876542019
6,5,2,19.12,2.767,0.8026308712027178
6,5,3,10.95,2.9,1.030709803203293
6,5,5,24.5,3.7,0.9804646054881908
1,6,1,14.05,2.9,0.8203434499467754
1,6,2,18.28,2.7,1.009747266519786
1,6,3,13.69,3.167,0.6484435493353605
1,6,5,26.2,3.3,0.964940236747743
6,6,1,14.97,2.833,0.7685716774260064
6,6,2,15.44,2.633,0.905830488841342
6,6,3,11.36,2.967,0.8274332946385835
6,6,5,27.79,3.3,0.8278299710407481
3,6,1,14.97,2.833,0.903732762456619
3,6,2,17.33,2.7,1.0027465578721508
3,6,3,12.72,2.9,0.7653283035962521
3,6,5,25.38,3.3,1.0372680750065764
2,6,1,14.56,2.967,0.8988767668422055
2,6,2,20.12,2.833,1.0804415608656053
2,6,3,12.9,2.967,0.728550108695228
2,6,5,26.3,3.5,0.8062855641956116
0.5,7,1,16.89,3.167,0.7452624369936038
0.5,7,2,17.24,3.7,0.5467896029911841
0.5,7,3,11.47,2.9,0.729551711766795
0.5,7,5,22.05,3.433,0.9013231176852472
1,7,1,14.84,3.1,0.7072161299427189
1,7,2,17.52,3.1,0.6122132749677844
1,7,3,10.51,2.967,1.0963545819193867
1,7,5,22.45,3.5,0.9691565073037651
3,7,1,16.18,2.9,0.6898636291117544
3,7,2,16.01,2.7,0.9452647966674889
3,7,3,11.03,2.967,1.2386790883213792
3,7,5,21.73,3.233,0.9107761002477822
6,7,1,15.35,2.767,0.8145363681850274
6,7,2,17.25,2.9,0.6592681784648438
6,7,3,11.47,3.167,0.9612854272055474
6,7,5,19.73,3.233,0.7804325398939478
2,7,1,15.63,2.967,0.6946629317105547
2,7,2,15.45,2.833,0.579451517428347
2,7,3,10.87,2.967,1.1634911285440195
2,7,5,22.89,3.433,0.9119591007316399
0.5,8,1,15.15,2.833,0.697268566581501
0.5,8,2,13.08,4.367,0.45699983436203967
0.5,8,3,13.14,2.767,1.1497373022796569
0.5,8,5,28.24,3.5,1.092433038825324
2,8,1,13.99,2.7,0.9010423142161998
2,8,2,16.83,3.033,0.5900322295370165
2,8,3,11.85,2.767,0.9537882580842452
2,8,5,26.73,3.833,0.8907480969884835
1,8,1,15.36,2.9,0.7268061386593154
1,8,2,16.15,3.367,0.5962703172920578
1,8,3,12.45,2.767,1.0537425854667517
1,8,5,24.18,3.567,0.9614553892830461
3,8,1,15.2,2.567,0.873805814995138
3,8,2,14.76,2.9,0.598110763146489
3,8,3,11.7,2.7,1.0979435375229942
3,8,5,26.7,3.7,0.764582006394015
1,9,1,13.92,2.9,0.8398501634177509
1,9,2,14.81,2.633,1.0122539993352602
1,9,3,13.26,3.1,0.7584652885316819
1,9,5,24.73,3.367,1.0811720612783007
0.5,9,1,14.99,3.033,0.8486437833509625
0.5,9,2,14.48,2.7,1.2532682229504595
0.5,9,3,12.49,3.233,0.8558069102261865
