seed,mode,set_id,lmin_fit,kr_hat,fit_status,adoption_status,class_l1,q90_ratio
103,window_mc,3,0.5,3.05,ok,accepted,0.10373605669385744,0.7392992468093231
103,window_mc,3,0.75,2.6,ok,provisional_accepted,0.05082559441872524,0.8221757773170757
103,window_mc,5,0.1,3.4000000000000004,ok,accepted,0.105432962298875,1.0119083674556928
103,window_mc,5,0.2,3.5,ok,accepted,0.10124904343765806,0.9408427427757723
103,window_mc,5,0.3,3.3,ok,provisional_accepted,0.07738020825608308,0.9479131727913365
103,window_mc,5,0.5,3.25,ok,provisional_accepted,0.019440933022581083,0.9365000157669406
103,window_mc,5,0.75,3.35,ok,accepted,0.015064341498794301,0.8528381286172411
103,hybrid,1,0.1,2.5,ok,provisional_accepted,0.17541342817372307,0.8621258235937851
103,hybrid,1,0.2,2.6,ok,accepted,0.13852646908462174,0.7628969272533341
103,hybrid,1,0.3,2.6,ok,accepted,0.13291824537295416,0.7269830909721928
103,hybrid,1,0.5,2.7,ok,accepted,0.0782086211213053,0.707969944284929
103,hybrid,1,0.75,2.75,ok,accepted,0.07916153230631914,0.7217860547905501
103,hybrid,2,0.1,3.7,ok,rejected,0.09221809418616331,0.8951461974322602
103,hybrid,2,0.2,3.7,ok,rejected,0.07933851999658485,0.893048151878947
103,hybrid,2,0.3,3.7,ok,rejected,0.06171925666767567,0.8961419229664441
103,hybrid,2,0.5,3.7,ok,rejected,0.015963048536866344,0.8905736698638832
103,hybrid,2,0.75,3.6,ok,provisional_accepted,0.09307474833831551,0.904390462468674
103,hybrid,3,0.1,2.8,ok,accepted,0.08867627318936012,0.8120750230501141
103,hybrid,3,0.2,2.9000000000000004,ok,accepted,0.05712952222141671,0.7692033577658739
103,hybrid,3,0.3,2.85,ok,accepted,0.07542310244961992,0.7954732046378938
103,hybrid,3,0.5,2.85,ok,accepted,0.07821701643077923,0.7843291536537045
103,hybrid,3,0.75,2.85,ok,accepted,0.09869327350730113,0.767347377407296
103,hybrid,5,0.1,3.45,ok,accepted,0.10934914249116813,1.0039981022607196
103,hybrid,5,0.2,3.35,ok,accepted,0.09384140343983899,0.9749529637887049
103,hybrid,5,0.3,3.4000000000000004,ok,accepted,0.07643624093238065,0.9291568268456337
103,hybrid,5,0.5,3.5,ok,accepted,0.021678300513686882,0.8799178252315182
103,hybrid,5,0.75,3.45,ok,accepted,0.013449620049934382,0.824581545252965
