angle_deg,seed,set_id,kappa,kr_hat,P32_hat
0,8,3,12.45,2.767,1.0494858167634085
0,8,5,24.18,3.567,0.902884549378225
24,8,1,14.85,2.967,0.6921549958444824
24,8,2,17.8,3.367,0.8024697951198319
24,8,3,13.09,2.633,1.0273969827905691
24,8,5,22.42,3.567,0.9801574085797561
156,7,1,14.32,2.967,0.6792151910238325
156,7,2,17.03,2.5,1.03095891554887
156,7,3,13.13,2.833,0.8982060204114373
156,7,5,23.98,3.033,1.0779475031714225
180,7,1,16.4,2.9,0.6988419989522285
180,7,2,17.78,2.767,0.8326601645423174
180,7,3,11.59,3.033,0.9381736926448171
180,7,5,22.88,2.833,1.063100561647472
144,7,1,11.7,3.1,0.6042435498461075
144,7,2,18.82,2.633,1.1686291225400638
144,7,3,12.21,2.967,0.9749906263351039
144,7,5,24.32,2.9,1.1331761423247708
36,8,1,15.37,2.967,0.7090830917763649
36,8,2,19.01,3.167,0.8431414220059262
36,8,3,12.65,2.7,1.0313905602706428
36,8,5,22.62,3.433,0.9423114724958194
168,7,1,16.01,2.967,0.730119640558544
168,7,2,15.11,2.633,0.8141529434816421
168,7,3,12.41,2.9,0.9209334889795078
168,7,5,22.71,2.9,1.0418781197024272
132,7,1,11.51,3.1,0.5702598170359633
132,7,2,21.37,2.433,1.222424694938515
132,7,3,12.36,2.833,1.0343163442127252
132,7,5,24.32,2.9,1.0638500944966116
84,8,1,12.04,3.033,0.7013867517030796
84,8,2,18.28,2.9,0.9852474705880585
84,8,3,12.93,2.567,0.9343920945813615
84,8,5,24.47,3.233,1.0852841060891771
96,8,1,10.56,2.833,0.6597981296870048
96,8,2,18.68,2.767,1.0218088179981744
96,8,3,14.2,2.5,0.9026803417248387
96,8,5,26.11,3.233,1.0417226485971864
48,8,1,13.98,2.833,0.7227919705535131
48,8,2,19.17,3.1,0.9430576924759551
48,8,3,9.98,2.567,1.1341716031045654
48,8,5,20.85,3.433,1.0018847533128956
120,8,1,11.22,3.167,0.5917319868408358
120,8,2,19.64,2.633,1.0690503354981566
120,8,3,15.91,2.633,0.85370471064785
120,8,5,25.81,3.3,1.0738587049488724
108,8,1,10.2,2.9,0.713602439527146
108,8,2,19.95,2.7,1.0459175265318863
108,8,3,15.6,2.633,0.8724194677891882
108,8,5,25.59,3.367,1.0724619918107856
144,8,1,13.89,2.767,0.72895419887393
144,8,2,20.38,2.433,1.0395541109098347
144,8,3,15.78,2.767,0.8772208215427388
144,8,5,23.75,3.433,1.0854187985017825
72,8,1,13.17,2.9,0.703922204422285
72,8,2,19.16,2.967,0.9392325260264234
72,8,3,11.07,2.5,0.9476848860800594
72,8,5,23.93,3.167,1.0368419885023525
156,8,1,13.82,2.633,0.8294109891455883
156,8,2,20.56,2.5,1.1106948306161364
156,8,3,15.6,2.7,0.8736947158228079
156,8,5,24.38,3.233,1.0386589692272021
60,8,1,13.3,2.9,0.7400752971794857
60,8,2,18.8,2.967,0.9729447839268011
60,8,3,11.13,2.5,1.22472997519831
60,8,5,20.67,3.233,1.073339676889855
132,8,1,14.17,3.167,0.5841069903016657
132,8,2,20.86,2.567,1.043534305319962
132,8,3,16.36,2.7,0.8861194203881071
132,8,5,24.1,3.367,1.085057492299804
