trace_id,fracture_id,set_id,face_id,face_x_m,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,observed_length_m,censoring_class,radius_m,nx,ny,nz
131,12914427,5,1,0.0000,0.000000,-3.496356,-0.691850,0.000000,-2.920935,-1.054494,0.680162,0,0.621891,-0.818028,-0.306670,-0.486605
132,12914530,5,1,0.0000,0.000000,-2.535012,-3.850161,0.000000,-2.399128,-4.000000,0.202278,1,0.512247,-0.802467,-0.442009,-0.400842
133,13239841,5,1,0.0000,0.000000,3.121821,-1.630632,0.000000,3.747207,-3.510357,1.981028,0,1.413700,-0.874021,-0.461042,-0.153389
134,13826806,5,1,0.0000,0.000000,1.638161,-0.045615,0.000000,2.343903,-0.755821,1.001232,0,0.507153,-0.747146,-0.471464,-0.468501
135,13854109,5,1,0.0000,0.000000,0.663236,3.901235,0.000000,0.918065,3.208583,0.738041,1,1.611512,-0.652392,-0.711272,-0.261679
136,14471626,5,1,0.0000,0.000000,-2.392337,3.392065,0.000000,-2.262653,3.079240,0.338640,1,1.061472,-0.826632,-0.519843,-0.215505
137,14645586,5,1,0.0000,0.000000,0.028205,-0.442208,0.000000,0.649119,-0.964127,0.811131,0,0.539367,-0.647850,-0.490156,-0.583127
138,14696102,5,1,0.0000,0.000000,0.929707,1.735626,0.000000,1.142752,1.558561,0.277020,0,0.595333,-0.702284,-0.455028,-0.547491
139,15461223,5,1,0.0000,0.000000,-4.370198,1.813680,0.000000,-4.282586,1.736323,0.116876,1,0.852283,-0.840138,-0.358982,-0.406571
140,15634871,5,1,0.0000,0.000000,1.822634,-0.780191,0.000000,2.466734,-1.568005,1.017603,0,0.524555,-0.805499,-0.458781,-0.375089
141,16267106,5,1,0.0000,0.000000,-1.751188,-0.588356,0.000000,-1.463694,-1.053505,0.546824,0,0.585139,-0.369169,-0.790551,-0.488614
142,16516938,5,1,0.0000,0.000000,2.145112,1.780845,0.000000,2.725731,1.419808,0.683716,0,0.587599,-0.532543,-0.446945,-0.718776
143,16540267,5,1,0.0000,0.000000,3.385109,1.652501,0.000000,3.844724,1.071901,0.740501,0,0.597812,-0.764167,-0.505735,-0.400351
144,16803105,5,1,0.0000,0.000000,-0.516761,3.579566,0.000000,0.358490,3.079780,1.007894,0,0.510764,-0.493964,-0.431151,-0.755055
145,17172763,5,1,0.0000,0.000000,-0.966212,-0.513847,0.000000,0.923258,-1.432788,2.101083,0,1.173700,-0.928575,-0.162326,-0.333765
146,17318612,5,1,0.0000,0.000000,-1.966684,-1.680291,0.000000,-1.622035,-2.115699,0.555305,0,0.574314,-0.730292,-0.535638,-0.423986
147,17987075,5,1,0.0000,0.000000,3.650197,-0.115435,0.000000,3.106574,-3.989793,3.912310,0,2.067047,-0.747348,-0.657987,0.092324
148,18082830,5,1,0.0000,0.000000,-5.519795,-1.333668,0.000000,-4.638533,-1.998233,1.103752,1,0.908884,-0.703596,-0.427850,-0.567360
149,18164947,5,1,0.0000,0.000000,2.828999,2.079778,0.000000,3.220015,1.573326,0.639833,0,0.633970,-0.902647,-0.340663,-0.263015
150,18177221,5,1,0.0000,0.000000,3.260807,-0.790483,0.000000,4.493526,-0.850816,1.234195,0,0.648652,-0.831663,-0.027145,-0.554617
151,18406942,5,1,0.0000,0.000000,-2.864504,-1.810724,0.000000,-1.989125,-2.656347,1.217115,0,0.766185,-0.892008,-0.314053,-0.325104
152,18446161,5,1,0.0000,0.000000,0.074031,2.985345,0.000000,0.818966,2.202580,1.080578,0,0.644296,-0.729725,-0.495298,-0.471361
153,53326,1,2,1.5000,1.500000,-0.206885,-3.445767,1.500000,1.498605,1.846666,5.560444,0,3.591495,-0.500206,0.824170,-0.265589
154,118119,1,2,1.5000,1.500000,0.038951,-0.049197,1.500000,-0.227185,0.928897,1.013655,0,0.508616,-0.444570,0.864320,0.235179
155,172382,1,2,1.5000,1.500000,-2.985683,2.078095,1.500000,-2.860385,3.163434,1.092548,1,0.782145,-0.303507,0.946542,-0.109274
156,543607,1,2,1.5000,1.500000,2.817570,-0.342629,1.500000,3.073329,0.703727,1.077160,0,0.572855,-0.109188,0.965595,-0.236019
157,995198,1,2,1.5000,1.500000,-2.235194,-0.529444,1.500000,-1.739036,0.280291,0.949654,0,0.546419,-0.444109,0.763962,-0.468112
158,1254923,1,2,1.5000,1.500000,-3.131337,-2.482318,1.500000,-3.863273,-0.309874,2.292432,0,1.288798,-0.596228,0.760795,0.256326
159,1295106,1,2,1.5000,1.500000,-3.405057,-3.305666,1.500000,-3.505818,-1.621595,1.687083,0,0.869912,-0.543754,0.837747,0.050124
160,1586546,1,2,1.5000,1.500000,-4.236343,-3.488350,1.500000,-4.430214,-2.101961,1.399878,0,1.137436,-0.319220,0.938549,0.131245
161,1763646,1,2,1.5000,1.500000,-1.650974,0.020370,1.500000,-1.532436,0.594516,0.586255,0,0.531429,-0.549803,0.818042,-0.168892
162,1869264,1,2,1.5000,1.500000,0.089906,-2.228076,1.500000,0.233395,-0.449952,1.783904,0,0.893043,0.023667,0.996481,-0.080412
163,1927232,1,2,1.5000,1.500000,-0.307386,2.375731,1.500000,-0.495956,3.615491,1.254018,0,0.659171,-0.078402,0.985586,0.149910
164,2020992,1,2,1.5000,1.500000,5.077527,-3.882538,1.500000,4.748380,-2.593970,1.329942,1,1.971783,-0.262644,0.934875,0.238801
165,2247538,1,2,1.5000,1.500000,4.260452,-1.672269,1.500000,3.979859,-0.867621,0.852167,0,0.749482,-0.622712,0.738818,0.257637
166,2287129,1,2,1.5000,1.500000,4.236205,-4.000000,1.500000,4.288071,-3.429488,0.572865,1,0.947920,-0.105348,0.990351,-0.090035
167,2299318,1,2,1.5000,1.500000,-3.285375,1.605342,1.500000,-3.159855,2.768535,1.169946,0,0.617664,-0.193021,0.975531,-0.105270
168,2311474,1,2,1.5000,1.500000,-3.951715,1.511115,1.500000,-4.294536,1.905351,0.522445,1,0.508510,-0.152147,0.745814,0.648547
169,2376152,1,2,1.5000,1.500000,-0.787105,-3.386113,1.500000,-0.651918,-3.102004,0.314633,0,0.908763,-0.498198,0.782947,-0.372549
170,2465669,1,2,1.5000,1.500000,-1.957563,-4.000000,1.500000,-0.438169,0.337318,4.595746,1,3.161315,-0.443942,0.845668,-0.296244
171,2474786,1,2,1.5000,1.500000,2.859439,-1.228980,1.500000,4.115172,2.095183,3.553438,1,4.754917,-0.128120,0.927768,-0.350473
172,2568930,1,2,1.5000,1.500000,0.054059,-3.046409,1.500000,0.805013,-2.400058,0.990809,0,0.509485,-0.394887,0.599331,-0.696324
173,2593770,1,2,1.5000,1.500000,4.965162,-0.631808,1.500000,5.290637,0.037582,0.744323,1,3.215019,-0.047273,0.898322,-0.436788
174,2613612,1,2,1.5000,1.500000,-0.192519,-1.915692,1.500000,-0.391977,-1.523756,0.439769,0,0.641660,-0.372507,0.827088,0.420909
175,2682829,1,2,1.5000,1.500000,5.476699,-1.665305,1.500000,5.447876,-0.997678,0.668249,0,0.501436,-0.361274,0.931592,0.040218
176,2918263,1,2,1.5000,1.500000,-4.847028,-4.000000,1.500000,-4.291783,-1.282973,2.773181,1,1.807055,-0.124206,0.972164,-0.198669
177,3334219,1,2,1.5000,1.500000,1.874686,-1.023852,1.500000,1.084698,1.531498,2.674677,0,1.478916,-0.163679,0.942502,0.291375
178,3378978,1,2,1.5000,1.500000,2.813352,-4.000000,1.500000,2.988810,-3.161891,0.856278,1,4.259476,-0.392881,0.900077,-0.188431
179,3424368,1,2,1.5000,1.500000,0.165091,-4.000000,1.500000,0.166202,-3.952421,0.047592,1,1.235198,-0.284195,0.958505,-0.022398
180,3426583,1,2,1.5000,1.500000,0.611987,3.583396,1.500000,0.632467,3.904025,0.321282,1,0.537982,-0.271675,0.960432,-0.061348
181,3472115,1,2,1.5000,1.500000,-4.257491,-4.000000,1.500000,-4.254575,-3.498727,0.501281,1,0.517651,-0.365395,0.930837,-0.005416
182,4131752,1,2,1.5000,1.500000,-4.454953,-0.671842,1.500000,-3.394727,2.553136,3.394784,0,1.738293,-0.119984,0.943117,-0.310054
183,4234137,1,2,1.5000,1.500000,-4.068636,0.089852,1.500000,-4.185008,0.633880,0.556335,0,0.517872,-0.286143,0.936990,0.200428
184,4242178,1,2,1.5000,1.500000,4.894987,-1.924835,1.500000,5.122233,-1.146221,0.811098,0,0.529763,0.029335,0.959537,-0.280050
185,4274016,1,2,1.5000,1.500000,-4.684956,-3.300330,1.500000,-4.350207,-1.785868,1.551017,0,0.857936,-0.620269,0.765902,-0.169291
186,4311025,1,2,1.5000,1.500000,-5.520171,-2.071161,1.500000,-5.297742,-0.015481,2.067679,1,2.154213,-0.687293,0.722165,-0.078140
187,4416826,1,2,1.5000,1.500000,1.443661,-1.762501,1.500000,2.063581,-1.196878,0.839184,0,0.673924,-0.419492,0.611843,-0.670578
188,4568715,1,2,1.5000,1.500000,3.306758,1.158904,1.500000,2.860378,2.879541,1.777596,0,0.942332,-0.208928,0.946596,0.245572
189,4921749,1,2,1.5000,1.500000,1.651277,-2.468674,1.500000,1.801882,-1.727303,0.756514,0,0.574620,-0.330785,0.924817,-0.187872
190,5028850,1,2,1.5000,1.500000,-5.336279,-3.070688,1.500000,-4.637380,-2.106693,1.190691,0,1.123707,-0.508031,0.697348,-0.505579
191,5265131,1,2,1.5000,1.500000,4.250340,-4.000000,1.500000,4.749665,-3.239116,0.910093,1,1.809353,-0.289732,0.800191,-0.525119
192,5270328,1,2,1.5000,1.500000,-0.861026,-0.637230,1.500000,-0.436655,-0.039455,0.733093,0,0.679274,-0.117268,0.809789,-0.574883
193,5299137,1,2,1.5000,1.500000,2.277917,-2.949541,1.500000,1.389700,-2.079307,1.243478,0,0.754529,0.082496,0.697454,0.711866
194,5301963,1,2,1.5000,1.500000,0.312524,-3.856369,1.500000,0.623256,-3.019034,0.893132,0,0.576785,0.116810,0.931109,-0.345531
195,5390693,1,2,1.5000,1.500000,-0.763008,-1.240506,1.500000,-1.238283,-0.444734,0.926898,0,0.703397,-0.575467,0.702129,0.419347
196,5428692,1,2,1.5000,1.500000,-1.190229,-3.874132,1.500000,-1.467468,-2.919542,0.994034,0,0.501004,-0.258320,0.927725,0.269437
197,5729509,2,2,1.5000,1.500000,-5.505047,-1.017849,1.500000,-2.777038,-4.000000,4.041690,2,5.661396,0.904026,-0.315413,-0.288533
198,5889815,2,2,1.5000,1.500000,-1.834326,3.637656,1.500000,-1.290843,3.155207,0.726725,1,1.622290,0.973099,-0.152945,-0.172294
