trace_id,face_id,set_id,x_face_nominal,x_mid_rough,x_span,rough_offset_p0,rough_offset_p1,rough_offset_mid,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,length_yz,length_3d,length_ratio_3d_to_yz,theta_yz_deg,valid_length,valid_x_tolerance,confidence,parent_fracture_id,dx,x_face,normal_x,normal_y,normal_z,rough_length_warning,censoring_class,is_p0_on_boundary,is_p1_on_boundary,distance_p0_to_boundary,distance_p1_to_boundary
41,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.1037384395329432,1.7763568394002505e-15,6.0,5.334232826882246,3.845087369406876,6.491746176065792,6.491746176065792,1.0,36.320679623416225,True,True,1.0,3878550,0.0,6.0,0.2806431353092193,0.5685006380081177,-0.7733346223831177,False,2,True,True,1.7772239894833365e-15,0.0
42,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-2.4468178749084477,3.34698486328125,6.0,-0.6359584331512451,4.390585899353027,2.090051444412624,2.090051444412624,1.0,29.954912555398767,True,True,1.0,3884857,0.0,6.0,-0.2215614318847656,0.4869085252285003,-0.844884991645813,False,0,False,False,2.898814875916286,3.449431297952138
43,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-5.365277369651774,3.708010877971076,6.0,-2.5710093835844083,7.305297398281772,4.5550415900593055,4.5550415900593055,1.0,52.16097415633504,True,True,1.0,3884933,0.0,6.0,0.3446139693260193,0.7413616180419922,-0.5758681893348694,False,2,True,True,8.881784197001252e-16,0.0
44,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-5.517788137047533,1.9105250694678932,6.0,-3.079310178756714,4.720001220703125,3.7201251319585595,3.7201251319585595,1.0,49.04373307115864,True,True,1.0,3885537,0.0,6.0,-0.2949250936508178,0.72161865234375,-0.6263271570205688,False,1,True,False,0.0,1.6783679990455909
45,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-5.535839093824819,2.0492497252274773,6.0,-4.007394313812256,3.0186092853546143,1.8099175125838,1.8099175125838,1.0,32.38340178581876,True,True,1.0,3909829,0.0,6.0,-0.0017708702944219,0.5355813503265381,-0.8444818258285522,False,1,True,False,0.0,1.4766205581001126
46,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,2.57574462890625,5.041229724884033,6.0,4.41200918874442,5.74934769294189,1.9680697625856807,1.9680697625856807,1.0,21.088115651028982,True,True,1.0,3930309,0.0,6.0,-0.3252229690551758,0.3402434289455414,-0.8823063373565674,False,1,False,True,1.842789419585959,0.0
47,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-5.103292806163203,0.1945402182472739,6.0,-0.9513711929321288,2.047090530395508,4.546470690706786,4.546470690706786,1.0,24.04600155280922,True,True,1.0,3931480,0.0,6.0,-0.0598148927092552,0.4067403376102447,-0.9115834832191468,False,1,True,False,1.6653345369377348e-16,2.047090530395508
48,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-1.073765754699707,6.24457597732544,6.0,2.6467272208375205,7.268527115479282,3.8588267536063863,3.8588267536063863,1.0,15.387927356456858,True,True,1.0,3933064,0.0,6.0,-0.0162840969860553,0.2653177678585052,-0.9640235304832458,False,1,False,True,1.545924674836573,9.930136612989092e-16
49,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-5.331574313693229,3.856825975547461,6.0,1.6773779628590155,7.681303135433469,7.984487307365241,7.984487307365241,1.0,28.61935658852485,True,True,1.0,3934136,0.0,6.0,0.1752314120531082,0.4715772271156311,-0.8642389178276062,False,2,True,True,9.930136612989092e-16,9.930136612989092e-16
50,1,4,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-5.089288756283111,4.54114275084282,6.0,-0.257348273108307,7.938034230254383,5.9064812330051835,5.9064812330051835,1.0,35.10751447347293,True,True,1.0,3938383,0.0,6.0,-0.4046971201896667,0.5259121060371399,-0.7480887174606323,False,2,True,True,0.0,5.551115123125783e-17
