trace_id,face_id,x_face,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,set_id,parent_fracture_id
224,3,6.125957,6.150922,2.214355,1.7,6.1009917,1.0047626,3.4500132,2,2065645
225,3,6.059534,6.05677,-1.3869683,7.1,6.062298,-1.366339,7.75,2,2104618
226,3,6.1643386,6.181498,3.5843651,0.05,6.147179,5.0367064,4.65,2,2451116
227,3,6.0322556,6.0378056,-1.2452374,0.032824554,6.0267053,-1.2592524,0.1,3,2631257
228,3,6.0135703,6.0171113,-2.9629576,6.8,6.0100293,-3.0283043,7.0,3,2633357
229,3,6.112049,6.084792,0.26809445,1.45,6.139306,0.1738867,3.5,3,2634723
230,3,6.0212207,6.0294976,2.8377256,5.8,6.0129433,3.4047627,6.702689,3,2640181
231,3,6.0881834,6.175752,2.8238585,0.05,6.0006146,1.2820868,7.75,3,2673183
232,3,6.038733,6.04347,2.8936827,4.85,6.0339956,3.7719865,6.4,3,2702283
233,3,6.1030173,6.083274,0.24882984,0.35,6.122761,-0.06690247,2.55,3,2703596
234,3,6.017758,5.9969625,-4.96058,2.95,6.0385528,-5.3551807,3.6,3,2861386
235,3,5.9777255,5.9237204,-2.746913,0.05,6.03173,-1.2670056,2.3,3,2883837
236,3,6.0923615,6.093264,0.4319483,0.05,6.0914593,0.5695998,1.7,3,2927405
237,3,6.0649276,6.015978,-1.7509295,3.0,6.113878,-1.8114983,4.9,3,2955522
238,3,5.9274764,5.891454,-3.6952374,0.046659466,5.9634986,-4.8721642,2.4,3,3113970
239,3,6.019111,6.019273,-4.549163,3.8,6.01895,-4.2450824,4.4,3,3177034
240,3,6.0210204,6.0389686,2.348597,4.65,6.0030723,2.8160236,6.7,3,3404117
241,3,6.0533776,6.0550084,-0.045237325,7.491157,6.0517473,0.12529892,7.9,3,3418631
242,3,5.941029,5.9010143,-5.2674556,0.7,5.981044,-5.3952374,2.4558313,3,3420331
243,3,6.0495243,6.1206527,1.6689451,0.05,5.978396,2.6617799,7.25,3,3547316
244,3,6.0239553,6.0079126,-1.1799222,0.65,6.039998,-4.7147655,5.0,3,3588423
245,3,6.188175,6.195936,3.3512468,0.8,6.1804147,3.4886818,2.15,3,3829625
246,3,6.125554,6.1552787,5.304763,3.8800235,6.09583,0.10476267,0.034981124,4,3878550
247,3,6.081427,6.170423,-0.5952373,4.369296,5.9924316,-2.3952372,3.378279,4,3884857
248,3,6.026862,6.008852,-2.579455,7.3,6.0448723,-5.3525634,3.75,4,3884933
249,3,5.9935102,6.0202274,-3.088354,4.7,5.9667926,-5.497962,1.95,4,3885537
250,3,5.981693,5.993144,-4.036759,3.0,5.9702415,-5.534755,2.05,4,3909829
251,3,6.056775,6.078397,4.4047627,5.7178907,6.0351534,2.6047628,5.0396495,4,3930309
